ds;pred_n_duty;pred_n_sby
2019-05-28;2071;437
2019-05-29;2052;418
2019-05-30;2025;445
2019-05-31;2007;440
2019-06-01;1975;455
2019-06-02;1880;438
2019-06-03;2104;439
2019-06-04;2109;439
2019-06-05;2091;425
2019-06-06;2063;444
2019-06-07;2045;410
2019-06-08;2010;438
2019-06-09;1913;428
2019-06-10;2134;434
2019-06-11;2136;426
2019-06-12;2113;426
2019-06-13;2081;444
2019-06-14;2059;419
2019-06-15;2020;499
2019-06-16;1918;443
2019-06-17;2135;439
2019-06-18;2134;446
2019-06-19;2108;421
2019-06-20;2073;429
2019-06-21;2048;430
2019-06-22;2007;426
2019-06-23;1904;419
2019-06-24;2121;442
2019-06-25;2120;451
2019-06-26;2095;443
2019-06-27;2061;436
